title,year,country,director,genre,imdb_id
"Гордость (фильм, 2014, Иордания)",2014,"Иордания, Великобритания, ОАЭ, Катар",Наджи Абу Нувар,"историческая, драма",tt3170902
Гордецы,1953,"Франция, Мексика",Ив Аллегре,"драма, экранизация литературного произведения, романтический фильм",tt0046149
Госпожа Кровавый Снег,1973,Япония,Тосия Фудзита,"триллер, боевик, драма",tt0158714
Госпожа горничная,2002,США,Уэйн Ван,"комедия, драма, мелодрама",tt0252076
"Грубая сила (фильм, 1947)",1947,США,Жюль Дассен,"криминальный (тюремный), триллер",tt0039224
"Грубая сила (фильм, 1914)",1914,США,Дэвид Уорк Гриффит,драматический фильм,tt0002719
Дамы Булонского леса,1945,Франция,Робер Брессон,"драма, мелодрама",tt0037630
Дамы (фильм),1954,СССР,"Лев Кулиджанов, Генрих Оганесян",комедия,tt0172293
Двойная жизнь Вероники,1991,"Франция, Польша, Норвегия",Кшиштоф Кесьлёвский,"драма, мелодрама, притча",tt0101765
"Двойная жизнь (фильм, 2018)",2018,Франция,Оливье Ассаяс,комедия,tt7250056
Девушка Тянь-Шаня,1960,СССР,Алексей Очкин,драма,tt5646212
Девушка твоей мечты,1998,Испания,Фернандо Труэба,драма,tt0158030
Демоны Санкт-Петербурга,2008,Италия,Джулиано Монтальдо,"драма, фильм-биография",tt0997280
Демоны Деборы Логан,2014,США,Адам Робител,"ужасы, триллер, детектив",tt3387648
Дети Дон Кихота,1965,СССР,Евгений Карелов,Трагикомедия,tt0129035
Дети греха (фильм),1989,СССР,Годердзи Чохели,"драма, притча",tt0280158
Джиндабайн,2006,Австралия,Рэй Лоуренс,"драма, экранизация литературного произведения",tt0382765
Джина (фильм),1975,Канада,Дени Аркан,драма,tt0071552
Дикие сердцем,1990,США,Дэвид Линч,"криминальная, мелодрама, чёрная комедия",tt0100935
Дикие постели (фильм),1979,"Италия, Испания",Луиджи Дзампа,комедия,tt0079463
"Дни Турбиных (фильм, 1969)",1969,Италия,Эдмо Фенольо,драма,tt13478040
"Дни славы (фильм, 1944)",1944,США,Жак Турнёр,драма,tt0036748
"Долгая ночь (фильм, 1951)",1951,США,Джозеф Лоузи,Фильм нуар,tt0043340
Долгая зима,Нет данных,"США, Великобритания, Канада",Эндрю Хэй,Нет данных,tt38220998
Домашняя игра (фильм),2022,США,"Чарльз Фрэнсис Киннэйн, Дэниел Киннэйн","комедия, спорт",tt14592064
Домашняя вечеринка 3,1994,США,Эрик Меса,"комедия, музыка",tt0110064
Дочь воды,1925,Франция,Жан Ренуар,"драма, мелодрама, авангард",tt0014898
Дочь Бреста,2016,Франция,Эмманюэль Берко,Драма,tt5247544
Дума про казака Голоту (фильм),1937,СССР,Игорь Савченко,"драма, боевик",tt0128953
Дума о Ковпаке,1973,СССР,Тимофей Левчук,"драма, военный фильм",tt0070008
"Евдокия (фильм, 1961)",1961,СССР,Татьяна Лиознова,мелодрама,tt0175341
"Евгения Гранде (фильм, 1960)",1960,СССР,Сергей Алексеев,драма,tt0142269
"Жажда (фильм, 2009)",2009,Республика Корея,Пак Чхан Ук,"драма, фэнтези",tt0762073
"Жажда (фильм, 1979)",1979,Австралия,Род Харди,"триллер, фильм ужасов, фантастика",tt0080016
Женские тайны,2000,США,Родриго Гарсиа,Мелодрама,tt0210358
Женские радости и печали,1982,СССР,Юрий Черный,"драма, военный фильм, экранизация",tt0252111
"Живые и мёртвые (фильм, 1964)",1964,СССР,"Александр Столпер, совместно с Владимиром Басовым","военная, драма",tt0057717
Живые герои,1959,СССР,"Марионас Гедрис, Балис Браткаускас, Арунас Жебрюнас, Витаутас Жалакявичюс",киноальманах,tt0194580
За веру и отечество,2010,Россия,Юрий Линкевич,Документальный фильм,N/A
"За бортом (фильм, 2018)",2018,США,Роб Гринберг,романтическая комедия,tt1563742
Заговор в Каире,2022,Швеция,Тарик Салех,политический триллер,tt15452062
Заговор в Голливуде,2022,США,Эдвард Дрэйк,"боевик, триллер",tt14174168
Запасное стекло,2009,США,Джонатан Глатзер,Драма,tt0832318
Запасное колесо (фильм),1978,СССР,Амиран Дарсавелидзе,комедия,tt0826620
"Звезда (фильм, 2002)",2002,Россия,Николай Лебедев,военный фильм,tt0326450
"Звезда (фильм, 2001)",2001,США,Гай Ричи,"комедия, Короткометражный фильм",tt0286151
Зелёные цепочки,1970,СССР,Григорий Аронов,"военно-детективный, детский",tt0314940
Зелёные поместья,1959,США,Мел Феррер,"романтический фильм, экранизация литературного произведения, драма",tt0052864
Знаки жизни,1968,ФРГ,Вернер Херцог,драма,tt0063218
Знаки (фильм),2002,США,М. Найт Шьямалан,"триллер, фантастика",tt0286106
Зубастики (фильм),1986,США,Стивен Херек,"фантастика, ужасы, комедия",tt0090887
Зубастая улыбка,1957,Польша,Роман Полански,короткометражный,tt0051144
